"postId","postTitle","post_clicks","post_reactions_like_total","post_reactions_love_total","post_reactions_wow_total","post_reactions_haha_total","post_reactions_sorry_total","post_reactions_anger_total"
"677224422303088_1349823159660848","CalMag Drankje van FreeChoice",2,0,1,0,0,0,0
"677224422303088_1348473636462467","Wat te doen bij obstipatie?

Obstipatie is een veelvoorkomende klacht, zelfs bij gezonde mensen. Vaak is dit eenvoudig op te lossen en te voorkomen als je de oorzaak kent.

",0,0,0,0,0,0,0
"677224422303088_1344841456825685","https://www.eventbrite.com/e/wat-je-niet-mag-weten-over-je-gezondheid-tickets-1112650911829?aff=ebdssbdestsearch&keep_tld=1",4,0,0,0,0,0,0
"677224422303088_1343381700304994","Goede voornemens of doelen stellen?

Goede voornemens zijn al duizenden jaren een traditie aan het begin van het jaar. Maar hoe verschilt dit van het hebben van doelen?

Veel mensen maken goede voornemens bij de start van een nieuw jaar. Maar hoe verschilt een voornemen met het stellen van doelen voor het leven? Een voornemen is vaak iets wat van je van plan bent te doen voor dat jaar, terwijl een doel meer op de nabije of verre toekomst is gericht. 

Doelen zijn een belangrijk onderdeel van een gezonde levensstijl. Je zult mogelijk denken: wat hebben doelen te maken met een gezonde levensstijl? Met deze blog zal ik het helemaal duidelijk maken voor je.

Lees meer in de blog:
",0,0,0,0,0,0,0
"677224422303088_1339613614015136","Hooggedoseerde
Vitaminen & Mineralen
Eenvoudig in gebruik, krachtig in resultaat

Nu met multi-collageen in een pakket voor maar €165,-

https://vitamine.shop/product/freechoice-formule-multi-collageen-shake/",0,0,0,0,0,0,0
"677224422303088_1339612280681936","2 voor 1 actie op Multi-collageen
Rijke bron van bouwstenen voor spieren, huid, botten, kraakbeen, pezen, ligamenten, bloedvaten, bindweefsel, hormonen, enzymen, enzovoort.
https://vitamine.shop/product/weiproteine-multi-collageen-2voor1/",0,0,0,0,0,0,0
"677224422303088_1339610727348758","2 voor 1 actie Multi-Greens Shake!
Krijg jij elke dag voldoende groente binnen?
27 verschillende soorten groenten en fruit.

https://vitamine.shop/product/multi-greens-shake-2-voor-1/",2,0,0,0,0,0,0
"677224422303088_1339524360690728","Hoe krijg je écht resultaat met vitaminen en mineralen?

Veel mensen nemen vitaminen en mineralen alleen ‘voor de zekerheid’. Maar wat je eigenlijk wilt zijn waarneembare resultaten die je levenskwaliteit aanzienlijk verbeteren.

",0,0,0,0,0,0,0
"677224422303088_1339523997357431","Tekorten aan vitaminen en mineralen zijn een wereldwijd probleem

Nieuw onderzoek in The Lancet Global Health: miljarden mensen over de hele wereld krijgen te weinig essentiële vitaminen en mineralen binnen. Urgente actie nodig!

",0,0,0,0,0,0,0
"677224422303088_1339474030695761","Ik wens je een fantastisch jaar vol energie, kracht en schoonheid. -Drs. Nick van Ruiten",1,3,2,0,0,0,0
"677224422303088_1329092468400584","Het gevaar van een zittend bestaan

Een zittend bestaan kan je gezondheid ernstig aantasten en voor een korter leven zorgen. Zorg dat lichaamsbeweging een onderdeel wordt van je levensstijl!

Een zittend bestaan
We zijn als mens altijd op zoek om het leven gemakkelijker en minder zwaar te maken. Onze huidige samenleving is doorspekt van talloze technologische hoogstandjes en uitvindingen die ervoor zorgen dat we ons nog nauwelijks hoeven in te spannen, zowel fysiek als mentaal.

We hebben auto’s, treinen, brommers, mobiele telefoons, magnetrons, televisies, computers, stofzuigers en allerlei andere apparatuur die weinig lichamelijke inspanning vereisen om ze te bedienen. De vindingrijkheid van de mens leidt voortdurend tot nieuwe ontwikkelingen en uitvindingen die ons leven aangenamer en gemakkelijker hebben gemaakt.

Talloze daarvan hebben bijgedragen aan een grotere productiviteit, meer kennis, een hogere levensstandaard en meer mogelijkheden tot ontspanning. Veel van deze ontwikkelingen hebben er echter ook voor gezorgd dat we ons minder hoeven in te spannen, zowel fysiek als mentaal.

",1,0,0,0,0,0,0
"677224422303088_1329091968400634","Wintertijd: zorg voor voldoende vitamine D!

In de herfst en winter is het belangrijk om je vitamine D op peil te houden, omdat je blootstelling aan zonlicht dan aanzienlijk afneemt. Leer hoe!

Vitamine D, de zonvitamine
Vitamine D3 is naast vitamine C misschien wel de meest genoemde vitamine, voornamelijk bekend door haar positieve invloed op de botten en het immuunsysteem.

De meeste vitamine D wordt in de huid aangemaakt door blootstelling aan zonlicht. Naast de huid spelen de lever en de nieren een belangrijke rol in de omzetting van vitamine D.

Het is een algemeen bekend feit dat we vitamine D zelf aanmaken door blootstelling van onze huid aan zonlicht. Het lichaam maakt de vitamine D aan uit cholesterol.

",0,0,0,0,0,0,0
"677224422303088_1318702422772922","Fijne Sinterklaas",0,0,0,0,0,0,0
"677224422303088_1313285559981275","FreeChoice bestaat zestien jaar!

Vandaag vieren we dat FreeChoice for Your Health 16 jaar geleden werd opgericht. Ik wil daarom al onze klanten persoonlijk bedanken voor het vertrouwen in al die jaren!

https://vitamine.shop/blog/freechoice-bestaat-zestien-jaar/",3,2,1,0,0,0,0
"677224422303088_1313283626648135","Hoe belangrijk is de bodemgezondheid voor onze vitaminen en mineralen?

Groenten en fruit behoren een rijke bron aan vitaminen en mineralen te zijn. Helaas is de kwaliteit achteruit gehold door de slechte staat van onze bodemgezondheid.

",0,0,0,0,0,0,0
